Period,Sex,Age,Count
2014,Total,4044,387
2014,Total,4549,582
2014,Total,5054,975
2014,Total,5559,1257
2014,Total,6064,1668
2014,Total,6569,2307
2014,Total,7074,2847
2014,Total,7579,3597
2014,Total,8084,4866
2014,Total,8589,5496
2014,Total,9094,4101
2014,Total,9599,1464
2014,Total,100 and over,246
2014,Total,Total,31062
2015,Male,Infant,129
2015,Male,14,30
2015,Male,59,18
2015,Male,1014,24
2015,Male,1519,96
2015,Male,2024,132
2015,Male,2529,117
2015,Male,3034,111
2015,Male,3539,126
2015,Male,4044,213
2015,Male,4549,339
2015,Male,5054,516
2015,Male,5559,723
2015,Male,6064,990
2015,Male,6569,1401
2015,Male,7074,1761
2015,Male,7579,2052
2015,Male,8084,2454
2015,Male,8589,2562
2015,Male,9094,1554
2015,Male,9599,408
2015,Male,100 and over,57
2015,Male,Total,15801
2015,Female,Infant,123
2015,Female,14,24
2015,Female,59,12
2015,Female,1014,15
2015,Female,1519,45
2015,Female,2024,48
2015,Female,2529,51
2015,Female,3034,66
2015,Female,3539,87
2015,Female,4044,156
2015,Female,4549,282
2015,Female,5054,420
2015,Female,5559,522
2015,Female,6064,669
2015,Female,6569,1014
2015,Female,7074,1242
2015,Female,7579,1686
2015,Female,8084,2358
2015,Female,8589,2940
2015,Female,9094,2697
2015,Female,9599,1113
2015,Female,100 and over,231
2015,Female,Total,15807
2015,Total,Infant,249
2015,Total,14,54
2015,Total,59,30
2015,Total,1014,36
2015,Total,1519,141
2015,Total,2024,180
2015,Total,2529,168
2015,Total,3034,177
2015,Total,3539,213
2015,Total,4044,369
2015,Total,4549,621
2015,Total,5054,936
2015,Total,5559,1248
2015,Total,6064,1659
2015,Total,6569,2412
2015,Total,7074,3003
2015,Total,7579,3735
2015,Total,8084,4812
2015,Total,8589,5505
2015,Total,9094,4251
2015,Total,9599,1521
2015,Total,100 and over,285
2015,Total,Total,31608
2016,Male,Infant,111
2016,Male,14,27
2016,Male,59,21
2016,Male,1014,21
2016,Male,1519,87
2016,Male,2024,117
2016,Male,2529,132
2016,Male,3034,123
2016,Male,3539,135
2016,Male,4044,222
2016,Male,4549,339
2016,Male,5054,549
2016,Male,5559,801
2016,Male,6064,990
2016,Male,6569,1419
2016,Male,7074,1626
2016,Male,7579,2058
2016,Male,8084,2412
2016,Male,8589,2559
2016,Male,9094,1572
2016,Male,9599,432
2016,Male,100 and over,51
2016,Male,Total,15789
2016,Female,Infant,102
2016,Female,14,12
2016,Female,59,18
2016,Female,1014,12
2016,Female,1519,39
2016,Female,2024,51
2016,Female,2529,57
2016,Female,3034,72
2016,Female,3539,84
2016,Female,4044,162
2016,Female,4549,255
2016,Female,5054,408
2016,Female,5559,558
2016,Female,6064,687
2016,Female,6569,981
2016,Female,7074,1182
2016,Female,7579,1620
2016,Female,8084,2178
2016,Female,8589,2946
2016,Female,9094,2583
2016,Female,9599,1155
2016,Female,100 and over,234
2016,Female,Total,15390
2016,Total,Infant,210
2016,Total,14,39
2016,Total,59,36
2016,Total,1014,30
2016,Total,1519,123
2016,Total,2024,168
2016,Total,2529,186
2016,Total,3034,192
2016,Total,3539,222
2016,Total,4044,384
2016,Total,4549,591
2016,Total,5054,957
2016,Total,5559,1359
2016,Total,6064,1680
2016,Total,6569,2397
2016,Total,7074,2808
2016,Total,7579,3678
2016,Total,8084,4587
2016,Total,8589,5505
2016,Total,9094,4155
2016,Total,9599,1590
2016,Total,100 and over,285
2016,Total,Total,31179
2017,Male,Infant,120
2017,Male,14,27
2017,Male,59,15
2017,Male,1014,21
2017,Male,1519,81
2017,Male,2024,141
2017,Male,2529,159
2017,Male,3034,138
2017,Male,3539,156
2017,Male,4044,234
2017,Male,4549,369
2017,Male,5054,549
2017,Male,5559,768
2017,Male,6064,1077
2017,Male,6569,1422
2017,Male,7074,1758
2017,Male,7579,2280
2017,Male,8084,2538
2017,Male,8589,2745
2017,Male,9094,1671
2017,Male,9599,501
2017,Male,100 and over,75
2017,Male,Total,16848
2017,Female,Infant,108
2017,Female,14,18
2017,Female,59,15
2017,Female,1014,12
2017,Female,1519,48
2017,Female,2024,63
2017,Female,2529,60
2017,Female,3034,78
2017,Female,3539,108
2017,Female,4044,117
2017,Female,4549,261
2017,Female,5054,396
2017,Female,5559,579
2017,Female,6064,747
2017,Female,6569,1029
2017,Female,7074,1368
2017,Female,7579,1845
2017,Female,8084,2328
2017,Female,8589,3132
2017,Female,9094,2745
2017,Female,9599,1230
2017,Female,100 and over,207
2017,Female,Total,16494
2017,Total,Infant,228
2017,Total,14,48
2017,Total,59,30
2017,Total,1014,33
2017,Total,1519,126
2017,Total,2024,207
2017,Total,2529,216
2017,Total,3034,213
2017,Total,3539,261
2017,Total,4044,348
2017,Total,4549,630
2017,Total,5054,945
2017,Total,5559,1347
2017,Total,6064,1824
2017,Total,6569,2451
2017,Total,7074,3129
2017,Total,7579,4125
2017,Total,8084,4866
2017,Total,8589,5874
2017,Total,9094,4416
2017,Total,9599,1731
2017,Total,100 and over,288
2017,Total,Total,33339
2018,Male,Infant,117
2018,Male,14,27
2018,Male,59,15
2018,Male,1014,21
2018,Male,1519,96
2018,Male,2024,138
2018,Male,2529,135
2018,Male,3034,147
2018,Male,3539,147
2018,Male,4044,225
2018,Male,4549,336
2018,Male,5054,540
2018,Male,5559,858
2018,Male,6064,1080
2018,Male,6569,1386
2018,Male,7074,1845
2018,Male,7579,2247
2018,Male,8084,2610
2018,Male,8589,2673
2018,Male,9094,1809
2018,Male,9599,486
2018,Male,100 and over,48
2018,Male,Total,16983
2018,Female,Infant,105
2018,Female,14,27
2018,Female,59,12
2018,Female,1014,24
2018,Female,1519,42
2018,Female,2024,54
2018,Female,2529,69
2018,Female,3034,81
2018,Female,3539,111
2018,Female,4044,144
2018,Female,4549,240
2018,Female,5054,396
2018,Female,5559,585
2018,Female,6064,753
2018,Female,6569,1017
2018,Female,7074,1356
2018,Female,7579,1752
2018,Female,8084,2265
2018,Female,8589,2961
2018,Female,9094,2784
2018,Female,9599,1197
2018,Female,100 and over,261
2018,Female,Total,16239
2018,Total,Infant,222
2018,Total,14,54
2018,Total,59,30
2018,Total,1014,45
2018,Total,1519,141
2018,Total,2024,195
2018,Total,2529,207
2018,Total,3034,228
2018,Total,3539,261
2018,Total,4044,366
2018,Total,4549,573
2018,Total,5054,936
2018,Total,5559,1446
2018,Total,6064,1830
2018,Total,6569,2406
2018,Total,7074,3198
2018,Total,7579,3999
2018,Total,8084,4875
2018,Total,8589,5634
2018,Total,9094,4593
2018,Total,9599,1680
2018,Total,100 and over,309
2018,Total,Total,33222
2019,Male,Infant,144
2019,Male,14,30
2019,Male,59,15
2019,Male,1014,30
2019,Male,1519,87
2019,Male,2024,150
2019,Male,2529,153
2019,Male,3034,174
2019,Male,3539,183
2019,Male,4044,207
2019,Male,4549,366
2019,Male,5054,588
2019,Male,5559,867
2019,Male,6064,1062
2019,Male,6569,1452
2019,Male,7074,1974
2019,Male,7579,2337
2019,Male,8084,2565
2019,Male,8589,2805
2019,Male,9094,1785
2019,Male,9599,552
2019,Male,100 and over,54
2019,Male,Total,17583
2019,Female,Infant,126
2019,Female,14,24
2019,Female,59,12
2019,Female,1014,24
2019,Female,1519,45
2019,Female,2024,54
2019,Female,2529,60
2019,Female,3034,87
2019,Female,3539,84
2019,Female,4044,159
2019,Female,4549,282
2019,Female,5054,399
2019,Female,5559,564
2019,Female,6064,756
2019,Female,6569,1017
2019,Female,7074,1395
2019,Female,7579,1773
2019,Female,8084,2316
2019,Female,8589,3084
2019,Female,9094,2814
2019,Female,9599,1338
2019,Female,100 and over,267
2019,Female,Total,16677
2019,Total,Infant,270
2019,Total,14,57
2019,Total,59,27
2019,Total,1014,51
2019,Total,1519,132
2019,Total,2024,204
2019,Total,2529,213
2019,Total,3034,258
2019,Total,3539,264
2019,Total,4044,366
2019,Total,4549,648
2019,Total,5054,990
2019,Total,5559,1428
2019,Total,6064,1818
2019,Total,6569,2466
2019,Total,7074,3372
2019,Total,7579,4110
2019,Total,8084,4881
2019,Total,8589,5889
2019,Total,9094,4599
2019,Total,9599,1890
2019,Total,100 and over,324
2019,Total,Total,34260
